,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
167,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,35,1984,5,4,360,4.0,5,1.25,19,13,73.7,2,0,2,1,25.0,1,0,1,0,100.0,Matches,74733221
168,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,32,1986,38,38,3420,38.0,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20.0,Matches,53af52f3
169,Markus Schubert,de GER,GK,Schalke 04,de Bundesliga,21,1998,9,8,742,8.2,18,2.18,55,37,70.9,1,3,4,2,25.0,2,2,0,0,0.0,Matches,289b90cd
170,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,27,1992,24,24,2091,23.2,32,1.38,118,86,75.4,9,6,8,4,16.7,3,3,0,0,0.0,Matches,0d55d942
171,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,27,1992,27,27,2430,27.0,32,1.19,104,71,75.0,11,5,11,8,29.6,7,6,1,0,14.3,Matches,834b5c4c
172,Luigi Sepe,it ITA,GK,Parma,it Serie A,28,1991,34,34,3060,34.0,53,1.56,193,137,75.6,13,6,15,5,14.7,9,6,3,0,33.3,Matches,343f753a
173,Rui Silva,pt POR,GK,Granada,es La Liga,25,1994,35,35,3150,35.0,42,1.20,142,99,73.2,15,8,12,12,34.3,5,4,1,0,20.0,Matches,ea83bfa6
174,Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,28,1991,35,35,3150,35.0,43,1.23,159,117,77.4,11,13,11,9,25.7,7,7,0,0,0.0,Matches,0d422df7
175,Unai Simón,es ESP,GK,Athletic Club,es La Liga,22,1997,34,34,2991,33.2,29,0.87,109,82,78.0,13,9,11,12,35.3,7,5,0,2,0.0,Matches,5dcf3e90
176,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,32,1987,36,36,3240,36.0,64,1.78,197,135,72.1,11,6,19,7,19.4,10,9,1,0,10.0,Matches,10dc46f0
